,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
67,SRR16195093,GSM5609444,RNA-Seq,cDNA,GSM5609444,Smart-HCT-20,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 020,GPL18573,Illumina NextSeq 500
68,SRR16195092,GSM5609445,RNA-Seq,cDNA,GSM5609445,Smart-HCT-21,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 021,GPL18573,Illumina NextSeq 500
69,SRR16195091,GSM5609446,RNA-Seq,cDNA,GSM5609446,Smart-HCT-22,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 022,GPL18573,Illumina NextSeq 500
70,SRR16195090,GSM5609447,RNA-Seq,cDNA,GSM5609447,Smart-HCT-23,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 023,GPL18573,Illumina NextSeq 500
71,SRR16195089,GSM5609448,RNA-Seq,cDNA,GSM5609448,Smart-HCT-24,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 024,GPL18573,Illumina NextSeq 500
72,SRR16195088,GSM5609449,RNA-Seq,cDNA,GSM5609449,Smart-HCT-25,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 025,GPL18573,Illumina NextSeq 500
73,SRR16195087,GSM5609450,RNA-Seq,cDNA,GSM5609450,Smart-HCT-26,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 026,GPL18573,Illumina NextSeq 500
74,SRR16195086,GSM5609451,RNA-Seq,cDNA,GSM5609451,Smart-HCT-27,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 027,GPL18573,Illumina NextSeq 500
75,SRR16195085,GSM5609476,RNA-Seq,cDNA,GSM5609476,Smart-HCT-52,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 052,GPL18573,Illumina NextSeq 500
76,SRR16195084,GSM5609477,RNA-Seq,cDNA,GSM5609477,Smart-HCT-53,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 053,GPL18573,Illumina NextSeq 500
77,SRR16195083,GSM5609478,RNA-Seq,cDNA,GSM5609478,Smart-HCT-54,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 054,GPL18573,Illumina NextSeq 500
78,SRR16195082,GSM5609479,RNA-Seq,cDNA,GSM5609479,Smart-HCT-55,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 055,GPL18573,Illumina NextSeq 500
79,SRR16195081,GSM5609480,RNA-Seq,cDNA,GSM5609480,Smart-HCT-56,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 056,GPL18573,Illumina NextSeq 500
80,SRR16195080,GSM5609481,RNA-Seq,cDNA,GSM5609481,Smart-HCT-57,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 057,GPL18573,Illumina NextSeq 500
81,SRR16195079,GSM5609482,RNA-Seq,cDNA,GSM5609482,Smart-HCT-58,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 058,GPL18573,Illumina NextSeq 500
82,SRR16195078,GSM5609483,RNA-Seq,cDNA,GSM5609483,Smart-HCT-59,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 059,GPL18573,Illumina NextSeq 500
83,SRR16195077,GSM5609484,RNA-Seq,cDNA,GSM5609484,Smart-HCT-60,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 060,GPL18573,Illumina NextSeq 500
84,SRR16195076,GSM5609485,RNA-Seq,cDNA,GSM5609485,Smart-HCT-61,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 061,GPL18573,Illumina NextSeq 500
85,SRR16195075,GSM5609486,RNA-Seq,cDNA,GSM5609486,Smart-HCT-62,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 062,GPL18573,Illumina NextSeq 500
